rongreiyn ban hwy h wk cxmthxng	rongreiyn ban hnxng xu	False	8459620	8459621	LATIN	LATIN	TH	TH
Tongbyol-li	동변리	True	6892819	6892819	LATIN	CJK	KR	KR
Tali Lbeda Mare	Talhaïet Tassarât	False	2376501	2376503	LATIN	LATIN	MR	MR
As Sukkariyah	بير السكري	True	172422	172422	LATIN	ARABIC	SY	SY
Bol'shoe	Bol'shoye	False	573781	573782	LATIN	LATIN	RU	RU
Skakun'ya	Skakun’ya	True	7898629	7898629	LATIN	LATIN	RU	RU
Jazirat Shishat al `Ujawi	Jazirat ash Shi`sha`i	False	349102	349103	LATIN	LATIN	EG	EG
lian he qiao	Lianhe Qiao	True	8264607	8264607	LATIN	LATIN	CN	CN
Munamak	Mudam	False	741255	741256	LATIN	LATIN	TR	TR
blndh	Bulanḏeh	True	1146189	1146189	LATIN	LATIN	AF	AF
Horbat Zerifin	zmt ʻyn hqwrʼ	False	8427409	8427410	LATIN	LATIN	IL	IL
かわなべぐん	chuan bian jun	True	1859755	1859755	CJK	LATIN	JP	JP
zhu jia dian	Hujiawan	False	7653574	7653575	LATIN	LATIN	CN	CN
Vasil'yev	Wasylow	True	690401	690401	LATIN	LATIN	UA	UA
Gora Figuristyj Belok	Fes’ki	False	1506847	1506849	LATIN	LATIN	RU	RU
Serranias Avalanchas	Sierra Avalanchas	True	3899108	3899108	LATIN	LATIN	CL	CL
Bān Pan Jiang	Ban Pa Neng	False	1155366	1155367	LATIN	LATIN	TH	TH
Gora-Gryaz'	Gora-Gryaz’	True	560324	560324	LATIN	LATIN	RU	RU
Ostersjon	Østersjø	False	2685792	2685793	LATIN	LATIN	SE	SE
lie a a lei	Lie'ahele	True	8756896	8756896	LATIN	LATIN	CN	CN
قَلعِۀ چَمِ حِيدَ	چم هاشم	False	139166	139168	ARABIC	ARABIC	IR	IR
kwhi narih qyzy	Kuh-e Narreh Quzi	True	122608	122608	LATIN	LATIN	IR	IR
"Verb""yazh"	Vorby	False	689953	689954	LATIN	LATIN	UA	UA
باغ سالم	Bagh-e Salem	True	45568	45568	ARABIC	LATIN	IR	IR
Qarani az Zaytunah	Khallet ez Zaitoune	False	265861	265862	LATIN	LATIN	LB	LB
บ้านนาตอง	Ban Na Tong	True	8539379	8539379	THAI	LATIN	TH	TH
kwh mstr bl	Mist	False	1133488	1133490	LATIN	LATIN	AF	AF
盐水塘	Yanshuitang	True	9920480	9920480	CJK	LATIN	CN	CN
Kūh-e Abū ol Fatḩī	Tang-e ‘Abak	False	8522576	8522577	LATIN	LATIN	IR	IR
Holmsjön	Holmsjøn	True	2705220	2705220	LATIN	LATIN	SE	SE
Ylae-Haukijaervi	Ylä-Hanhijärvi	False	475365	475366	LATIN	LATIN	RU	RU
yu dian cun	Yudiancun	True	10442502	10442502	LATIN	LATIN	CN	CN
mei zi ya	zhu fu	False	8408652	8408653	LATIN	LATIN	CN	CN
โรงเรียนบ้านภูทอง	rongreiyn ban phu thxng	True	7878966	7878966	THAI	LATIN	TH	TH
چشمه زینعلی بلاغ	چشمه دوش بلاغی	False	8698929	8698930	ARABIC	ARABIC	IR	IR
Ḏe Saghāw Ṟōḏ	De Saghāb Rūd	True	1143195	1143195	LATIN	LATIN	AF	AF
柿树沟	dong sun wu	False	9119563	9119564	CJK	LATIN	CN	CN
Khlong Khreng	khlxng kherng	True	11066104	11066104	LATIN	LATIN	TH	TH
Hajjiabad	تل گچی	False	6875235	6875236	LATIN	ARABIC	IR	IR
Jabal Baykasīr	چياى بێ كەسير	True	445847	445847	LATIN	ARABIC	IQ	IQ
gongjaggol	문바위골	False	8992287	8992288	LATIN	CJK	KR	KR
Spaneika	Spanaiika	True	253403	253403	LATIN	LATIN	GR	GR
Balyra	Βαλιμίτικα	False	252334	252335	LATIN	GREEK	GR	GR
仉木章	zhang mu zhang	True	9089776	9089776	CJK	LATIN	CN	CN
Dobszyna	Dobra nad Ondavou	False	724893	724896	LATIN	LATIN	SK	SK
Izabellaföld	Izabellafold	True	3053261	3053261	LATIN	LATIN	HU	HU
Mys Pesalya	Bukhta Kamennaja	False	1540250	1540251	LATIN	LATIN	RU	RU
龙王许家	long wang xu jia	True	9497905	9497905	CJK	LATIN	CN	CN
มัสยิดยี่เด็นสอลิดิน	บ้านลำพิกุล	False	8228269	8228270	THAI	THAI	TH	TH
Pak Shek Au	bai shi ao	True	1819146	1819146	LATIN	LATIN	HK	HK
Huai Kok	ห้วยกอก	False	10195334	10195335	LATIN	THAI	TH	TH
Mullā Khēl	Mulla Khel	True	7564021	7564021	LATIN	LATIN	AF	AF
Mainpu	Main Qu	False	8045712	8045713	LATIN	LATIN	CN	CN
yu min tun	Yumintun	True	10967054	10967054	LATIN	LATIN	CN	CN
Kūh-e Takht-e Razmgāh	Kūh-e Tākak	False	1112517	1112518	LATIN	LATIN	IR	IR
اق داش	Āghdāsh	True	144679	144679	ARABIC	LATIN	IR	IR
Jamat Sar	Pindiāli	False	1335057	1335064	LATIN	LATIN	PK	PK
gilinmyeon	Kirin-myŏn	True	6815612	6815612	LATIN	LATIN	KR	KR
Manzendlovu	Masintantwe	False	968821	968824	LATIN	LATIN	ZA	ZA
Jianpo	jian po	True	10369495	10369495	LATIN	LATIN	CN	CN
Eastern Bengal Railway Bihariganj Branch	Narayanpur	False	10909790	10910011	LATIN	LATIN	IN	IN
yu er qi xi	Ürzig	True	2818121	2818121	LATIN	LATIN	DE	DE
Ashino	中長泥	False	8441681	8441683	LATIN	CJK	JP	JP
Besztercebányai járás	Banska Bystrica	True	3061185	3061185	LATIN	LATIN	SK	SK
Sagil	대선동	False	6802578	6802579	LATIN	CJK	KR	KR
Fuzha Chuandi	付榨船地	True	7757479	7757479	LATIN	CJK	CN	CN
Karīyan	kary	False	128653	128654	LATIN	LATIN	IR	IR
Nizhneye Apu	Asagi Apu	True	148487	148487	LATIN	LATIN	AZ	AZ
イシカワエキ	ぎじゅくこうこうまええき	False	7548514	7548515	CJK	CJK	JP	JP
Belén	Belem	True	3923259	3923259	LATIN	LATIN	BO	BO
Dasht-i-Shur	dsht shqyn	False	137222	137223	LATIN	LATIN	IR	IR
Kamrut Jare	Jar-e Kamrut	True	1448147	1448147	LATIN	LATIN	AF	AF
Jabal Yana'	Al Jubayyah Quḩayfah	False	7367201	7367220	LATIN	LATIN	YE	YE
Qabb Ilyas	Qabb Ilyās	True	269696	269696	LATIN	LATIN	LB	LB
Aliya Bole	Ali-Uakhil'	False	344190	344191	LATIN	LATIN	ET	ET
Persöfladan	Persofladan	True	634030	634030	LATIN	LATIN	FI	FI
Voznesenskij	Ольшанка	False	7457888	7457889	LATIN	CYRILLIC	RU	RU
Nandong	南董镇	True	1800102	1800102	LATIN	CJK	CN	CN
Хутор Старый Бытош	Staryj Buzets	False	488145	488146	CYRILLIC	LATIN	RU	RU
Тогузак	Toguzak	True	1489498	1489498	CYRILLIC	LATIN	RU	RU
Banling	guang pa	False	9987022	9987023	LATIN	LATIN	CN	CN
کوه کلاتوک	kwh klatwk	True	9116989	9116989	ARABIC	LATIN	IR	IR
Mæla	Mægta	False	3146189	3146190	LATIN	LATIN	NO	NO
Ban Phraek Yo	บ้านแพรกยอ	True	8538951	8538951	LATIN	THAI	TH	TH
สถานีอนามัยบ้านปลายน้ำ	สถานีอนามัยควนสุบรรณ	False	8324687	8324688	THAI	THAI	TH	TH
Hương Xa	Huong Xa	True	1580084	1580084	LATIN	LATIN	VN	VN
감암리	song-amsa	False	6898249	6898250	CJK	LATIN	KR	KR
kh nyk	Gora Nayak	True	1458111	1458111	LATIN	LATIN	AF	AF
sthani xnamay banna tham	sthani xnamay ban nonsaxad	False	8036805	8036807	LATIN	LATIN	TH	TH
Дибин	Dibbin	True	170689	170689	CYRILLIC	LATIN	SY	SY
Bol'shiye Zolotartsy	Дудино	False	6268929	6268931	LATIN	CYRILLIC	RU	RU
Eskīūnak	Eskayunak	True	135179	135179	LATIN	LATIN	IR	IR
Granata	Grana	False	2517115	2517117	LATIN	LATIN	ES	ES
قرية صاحب آل شجر	Qaryat Sahib Al Shajar	True	6789459	6789459	ARABIC	LATIN	IQ	IQ
Ciribushevo	Cip'ja	False	480860	480861	LATIN	LATIN	RU	RU
Zimov’ye Pervushino	Pervushino	True	2012473	2012473	LATIN	LATIN	RU	RU
Soksa-gol	Chuksan-dong	False	1888949	1888950	LATIN	LATIN	KP	KP
‘Ezbet el-Zeini Qinâwi	‘Izbat az Zaynī Qināwī	True	346052	346052	LATIN	LATIN	EG	EG
Mariamaïne	Maryamayn	False	167176	167177	LATIN	LATIN	SY	SY
麒麟圍	Kei Lun Wai	True	1819644	1819644	CJK	LATIN	HK	HK
Chah-e Khaneh-ye Navaiyeh Pa'in	Chāh-e Nām Āvar Shomāreh Yek	False	10315186	10315187	LATIN	LATIN	IR	IR
Dashi	da shi	True	1922147	1922147	LATIN	LATIN	CN	CN
高嘴镇	永城镇	False	8640908	8640909	CJK	CJK	CN	CN
الرشدية	Ar Rashdiyah	True	6763890	6763890	ARABIC	LATIN	IQ	IQ
Proletarskiy	Пристань Дмитриевы Горы	False	7690991	7690996	LATIN	CYRILLIC	RU	RU
Lung-ch'uan-chen	Longchuan	True	1802682	1802682	LATIN	LATIN	CN	CN
duo bu he	大山里	False	6874555	6874556	LATIN	CJK	CN	CN
Ánidhron	Anydro	True	736833	736833	LATIN	LATIN	GR	GR
Shahrdari-ye Mantaqeh-ye Seh	shhrdary mrkz	False	10944188	10944189	LATIN	LATIN	IR	IR
Hirakawa-eki	平川駅	True	7563579	7563579	LATIN	CJK	JP	JP
xi nie zhuang	Hubulizhuang	False	9528337	9528338	LATIN	LATIN	CN	CN
Xixiahui	xi xia hui	True	7734295	7734295	LATIN	LATIN	CN	CN
尖尖墩台	兴水四队	False	10648432	10648433	CJK	CJK	CN	CN
Gurrujakka	Guro	True	779724	779724	LATIN	LATIN	NO	NO
Staraya Knyas’pa	Novaya Knyas'pa	False	547148	547149	LATIN	LATIN	RU	RU
Шипковица	Schipkowiz	True	727290	727290	CYRILLIC	LATIN	BG	BG
법보사	Nung-dong	False	6274822	6274823	CJK	LATIN	KR	KR
آبشار تميره	Abshar-e Tamireh	True	8441548	8441548	ARABIC	LATIN	IR	IR
Wadi Buwaykhah	Wadi al `Urayij	False	6763584	6763585	LATIN	LATIN	IQ	IQ
Ma`tan Bu Nagrah	Maaten Bu Nógra	True	2218189	2218189	LATIN	LATIN	LY	LY
Lubok Jambi	Lubukcempedak	False	1637173	1637178	LATIN	LATIN	ID	ID
Eisfelder Thalmühle	Eisfelder Talmuehle	True	2931432	2931432	LATIN	LATIN	DE	DE
Sangpo	zhu jiao	False	9905856	9905857	LATIN	LATIN	CN	CN
Chrak Phnum Pich Nil	Chrâk Phnŭm Pich Nil	True	1830158	1830158	LATIN	LATIN	KH	KH
Einmlapp Island	Een-to	False	2080598	2080599	LATIN	LATIN	MH	MH
Ip’yŏng-ni	Ip’yŏng-dong	True	2043704	2043704	LATIN	LATIN	KP	KP
Sherokyan	Ḧisqêl	False	391077	391078	LATIN	LATIN	IQ	IQ
qaynjt	Qaynjah	True	92685	92685	LATIN	LATIN	IQ	IQ
الرصعة العليا	الرصعة السفلى	False	9634527	9634528	ARABIC	ARABIC	YE	YE
Wadi Zu'anah	Wādī Zu’ānah	True	265788	265788	LATIN	LATIN	LB	LB
li jia cun	lu bu ya kou	False	10141607	10141608	LATIN	LATIN	CN	CN
สถานีอนามัยลำเพียก	sthani xnamay la phei yk	True	9106897	9106897	THAI	LATIN	TH	TH
Tikus Island	Bukit Tikung	False	1623897	1623901	LATIN	LATIN	ID	ID
Cerro Cónico	Nevado Cónico	True	3878708	3878708	LATIN	LATIN	CL	CL
Nizhniy Bilyatay	Nizhniye Bereshki	False	520763	520764	LATIN	LATIN	RU	RU
Senju-okawacho	Senju-ōkawachō	True	10987957	10987957	LATIN	LATIN	JP	JP
Kuh-e Sabzi	Kuh-e Nasum Tarkideh	False	10029520	10029524	LATIN	LATIN	IR	IR
Starshee	Starsheye	True	488194	488194	LATIN	LATIN	RU	RU
Salih Kazim Khudayr	Sayyid Kazim `Abbas	False	6787952	6787953	LATIN	LATIN	IQ	IQ
Rancaciov	Rincaciov	True	668871	668871	LATIN	LATIN	RO	RO
Kohe Sokhta	Kuh-e Daghmordeh	False	1457835	1457836	LATIN	LATIN	AF	AF
陈家上庄子	chen jia shang zhuang zi	True	10644387	10644387	CJK	LATIN	CN	CN
kao shan	Qianjin	False	8439617	8439618	LATIN	LATIN	CN	CN
Ang Kep Nam Huai Khlong Toei	xang keb na hwy khlxngtey	True	8397442	8397442	LATIN	LATIN	TH	TH
jun de qiao	xia yang si zu	False	11080535	11080536	LATIN	LATIN	CN	CN
Sukhawali	Sohlewali	True	1370469	1370469	LATIN	LATIN	PK	PK
Kolodec Boldy	Юрта	False	10372852	10372858	LATIN	CYRILLIC	KZ	KZ
sheng li gong she	ri xing xiang	True	8049739	8049739	LATIN	LATIN	CN	CN
qiao mai tang	sha keng yuan	False	7752848	7752849	LATIN	LATIN	CN	CN
平野駅	Hirano-eki	True	7549722	7549722	CJK	LATIN	JP	JP
Yufu-dake	Yudono San	False	1848122	1848123	LATIN	LATIN	JP	JP
Rilabergen	Riła	True	727629	727629	LATIN	LATIN	BG	BG
Tovarnyy	Tovarkovskij	False	481937	481938	LATIN	LATIN	RU	RU
Hubārīyah	Khirbat al Hubayriyah	True	169543	169543	LATIN	LATIN	SY	SY
奥尔维拉	lota	False	6356939	6356945	CJK	LATIN	ES	ES
Yerlyki	Jeriki	True	459268	459268	LATIN	LATIN	RU	RU
Lugovoj	Луговой	False	2020677	2020678	LATIN	CYRILLIC	RU	RU
Ho-lin-t’u	Horim-tu	True	2030352	2030352	LATIN	LATIN	MN	MN
Shumnyy	Mys Lezhbishchnyy	False	2131427	2131430	LATIN	LATIN	RU	RU
fu lei si na	frn	True	6613139	6613139	LATIN	LATIN	FR	FR
Tal-san	Taesong-san	False	6900259	6900260	LATIN	LATIN	KR	KR
Khao Chak Lap	khea cha klab	True	7922356	7922356	LATIN	LATIN	TH	TH
Xujia	miao jia	False	7064865	7064866	LATIN	LATIN	CN	CN
Малые Кирмени	Malyye Kirmeni	True	530153	530153	CYRILLIC	LATIN	RU	RU
khea hwy na	เขาน้ำซับแขวน	False	8568359	8568360	LATIN	THAI	TH	TH
Мыс Лодейский	Mys Lodeyskiy	True	872908	872908	CYRILLIC	LATIN	RU	RU
Gebel Gineina el-Sharqi	Jabal Junaynah al Gharbiyah	False	354952	354953	LATIN	LATIN	EG	EG
Jung-hua-p’ing	Jung-hua-p'ing	True	1816166	1816166	LATIN	LATIN	CN	CN
feng gang xiang	Yihuang Xian	False	1811377	1811378	LATIN	LATIN	CN	CN
Bīḑ	Biz	True	107457	107457	LATIN	LATIN	SA	SA
qm yk	qumyk	False	10009	10010	LATIN	LATIN	IR	IR
